number,construction,sentence,item,grammaticality
0,p_pn,The laws have done [MASK] harm.,any,0
1,p_pn,Many of the laws have done [MASK] harm.,any,0
2,p_pn,It is the case that the laws have done [MASK] harm.,any,0
3,p_prel,The laws which I have studied have done [MASK] harm.,any,0
4,p_prel,Many of the laws which I have studied have done [MASK] harm.,any,0
5,p_prel,It is the case that laws which I have studied have done [MASK] harm.,any,0
6,p_ppp,The laws in these places have done [MASK] harm.,any,0
7,p_ppp,Many of the laws in these places have done [MASK] harm.,any,0
8,p_ppp,It is the case that the laws in these places have done [MASK] harm.,any,0
9,p_nrel,The laws which I have not studied have done [MASK] harm.,any,1
10,p_nrel,Many of the laws which I have not studied have done [MASK] harm.,any,1
11,p_nrel,It is the case that the laws which I have not studied have done [MASK] harm.,any,1
12,p_npp,The laws in none of these places have done [MASK] harm.,any,1
13,p_npp,Many of the laws in none of these places have done [MASK] harm.,any,1
14,p_npp,It is the case that laws in none of these places have done [MASK] harm.,any,1
15,n_pn,No laws have done [MASK] harm.,any,1
16,n_pn,None of the laws have done [MASK] harm.,any,1
17,n_pn,It is not the case that the laws have done [MASK] harm.,any,1
18,n_prel,No laws which I have studied have done [MASK] harm.,any,1
19,n_prel,None of the laws which I have studied have done [MASK] harm.,any,1
20,n_prel,It is not the case that the laws which I have studied have done [MASK] harm.,any,1
21,n_ppp,No laws in these places have done [MASK] harm.,any,1
22,n_ppp,None of the laws in these places have done [MASK] harm.,any,1
23,n_ppp,It is not the case that laws in these places have done [MASK] harm.,any,1
24,n_nrel,No laws which I have not studied have done [MASK] harm.,any,1
25,n_nrel,None of the laws which I have not have studied have done [MASK] harm.,any,1
26,n_nrel,It is not the case that the laws which I have not studied have done [MASK] harm.,any,1
27,n_npp,No laws in none of these places have done [MASK] harm.,any,1
28,n_npp,None of the laws in none of these places have done [MASK] harm.,any,1
29,n_npp,It is not the case that laws in none of these places have done [MASK] harm.,any,1
30,p_pn,The laws will impact [MASK] legislation.,any,0
31,p_pn,Many of the laws will impact [MASK] legislation.,any,0
32,p_pn,It is the case that the laws will impact [MASK] legislation.,any,0
33,p_prel,The laws which I have studied will impact [MASK] legislation.,any,0
34,p_prel,Many of the laws which I have studied will impact [MASK] legislation.,any,0
35,p_prel,It is the case that laws which I have studied will impact [MASK] legislation.,any,0
36,p_ppp,The laws in these places will impact [MASK] legislation.,any,0
37,p_ppp,Many of the laws in these places will impact [MASK] legislation.,any,0
38,p_ppp,It is the case that the laws in these places will impact [MASK] legislation.,any,0
39,p_nrel,The laws which I have not studied will impact [MASK] legislation.,any,1
40,p_nrel,Many of the laws which I have not studied will impact [MASK] legislation.,any,1
41,p_nrel,It is the case that the laws which I have not studied will impact [MASK] legislation.,any,1
42,p_npp,The laws in none of these places will impact [MASK] legislation.,any,1
43,p_npp,Many of the laws in none of these places will impact [MASK] legislation.,any,1
44,p_npp,It is the case that laws in none of these places will impact [MASK] legislation.,any,1
45,n_pn,No laws will impact [MASK] legislation.,any,1
46,n_pn,None of the laws will impact [MASK] legislation.,any,1
47,n_pn,It is not the case that the laws will impact [MASK] legislation.,any,1
48,n_prel,No laws which I have studied will impact [MASK] legislation.,any,1
49,n_prel,None of the laws which I have studied will impact [MASK] legislation.,any,1
50,n_prel,It is not the case that the laws which I have studied will impact [MASK] legislation.,any,1
51,n_ppp,No laws in these places will impact [MASK] legislation.,any,1
52,n_ppp,None of the laws in these places will impact [MASK] legislation.,any,1
53,n_ppp,It is not the case that laws in these places will impact [MASK] legislation.,any,1
54,n_nrel,No laws which I have not studied will impact [MASK] legislation.,any,1
55,n_nrel,None of the laws which I have not have studied will impact [MASK] legislation.,any,1
56,n_nrel,It is not the case that the laws which I have not studied will impact [MASK] legislation.,any,1
57,n_npp,No laws in none of these places will impact [MASK] legislation.,any,1
58,n_npp,None of the laws in none of these places will impact [MASK] legislation.,any,1
59,n_npp,It is not the case that laws in none of these places will impact [MASK] legislation.,any,1
60,p_pn,The laws confuse [MASK] astronomers.,any,0
61,p_pn,Many of the laws confuse [MASK] astronomers.,any,0
62,p_pn,It is the case that the laws confuse [MASK] astronomers.,any,0
63,p_prel,The laws which I have studied confuse [MASK] astronomers.,any,0
64,p_prel,Many of the laws which I have studied confuse [MASK] astronomers.,any,0
65,p_prel,It is the case that laws which I have studied confuse [MASK] astronomers.,any,0
66,p_ppp,The laws in these places confuse [MASK] astronomers.,any,0
67,p_ppp,Many of the laws in these places confuse [MASK] astronomers.,any,0
68,p_ppp,It is the case that the laws in these places confuse [MASK] astronomers.,any,0
69,p_nrel,The laws which I have not studied confuse [MASK] astronomers.,any,1
70,p_nrel,Many of the laws which I have not studied confuse [MASK] astronomers.,any,1
71,p_nrel,It is the case that the laws which I have not studied confuse [MASK] astronomers.,any,1
72,p_npp,The laws in none of these places confuse [MASK] astronomers.,any,1
73,p_npp,Many of the laws in none of these places confuse [MASK] astronomers.,any,1
74,p_npp,It is the case that laws in none of these places confuse [MASK] astronomers.,any,1
75,n_pn,No laws confuse [MASK] astronomers.,any,1
76,n_pn,None of the laws confuse [MASK] astronomers.,any,1
77,n_pn,It is not the case that the laws confuse [MASK] astronomers.,any,1
78,n_prel,No laws which I have studied confuse [MASK] astronomers.,any,1
79,n_prel,None of the laws which I have studied confuse [MASK] astronomers.,any,1
80,n_prel,It is not the case that the laws which I have studied confuse [MASK] astronomers.,any,1
81,n_ppp,No laws in these places confuse [MASK] astronomers.,any,1
82,n_ppp,None of the laws in these places confuse [MASK] astronomers.,any,1
83,n_ppp,It is not the case that laws in these places confuse [MASK] astronomers.,any,1
84,n_nrel,No laws which I have not studied confuse [MASK] astronomers.,any,1
85,n_nrel,None of the laws which I have not have studied confuse [MASK] astronomers.,any,1
86,n_nrel,It is not the case that the laws which I have not studied confuse [MASK] astronomers.,any,1
87,n_npp,No laws in none of these places confuse [MASK] astronomers.,any,1
88,n_npp,None of the laws in none of these places confuse [MASK] astronomers.,any,1
89,n_npp,It is not the case that laws in none of these places confuse [MASK] astronomers.,any,1
90,p_pn,The laws inspired [MASK] revolutions.,any,0
91,p_pn,Many of the laws inspired [MASK] revolutions.,any,0
92,p_pn,It is the case that the laws inspired [MASK] revolutions.,any,0
93,p_prel,The laws which I have studied inspired [MASK] revolutions.,any,0
94,p_prel,Many of the laws which I have studied inspired [MASK] revolutions.,any,0
95,p_prel,It is the case that laws which I have studied inspired [MASK] revolutions.,any,0
96,p_ppp,The laws in these places inspired [MASK] revolutions.,any,0
97,p_ppp,Many of the laws in these places inspired [MASK] revolutions.,any,0
98,p_ppp,It is the case that the laws in these places inspired [MASK] revolutions.,any,0
99,p_nrel,The laws which I have not studied inspired [MASK] revolutions.,any,1
100,p_nrel,Many of the laws which I have not studied inspired [MASK] revolutions.,any,1
101,p_nrel,It is the case that the laws which I have not studied inspired [MASK] revolutions.,any,1
102,p_npp,The laws in none of these places inspired [MASK] revolutions.,any,1
103,p_npp,Many of the laws in none of these places inspired [MASK] revolutions.,any,1
104,p_npp,It is the case that laws in none of these places inspired [MASK] revolutions.,any,1
105,n_pn,No laws inspired [MASK] revolutions.,any,1
106,n_pn,None of the laws inspired [MASK] revolutions.,any,1
107,n_pn,It is not the case that the laws inspired [MASK] revolutions.,any,1
108,n_prel,No laws which I have studied inspired [MASK] revolutions.,any,1
109,n_prel,None of the laws which I have studied inspired [MASK] revolutions.,any,1
110,n_prel,It is not the case that the laws which I have studied inspired [MASK] revolutions.,any,1
111,n_ppp,No laws in these places inspired [MASK] revolutions.,any,1
112,n_ppp,None of the laws in these places inspired [MASK] revolutions.,any,1
113,n_ppp,It is not the case that laws in these places inspired [MASK] revolutions.,any,1
114,n_nrel,No laws which I have not studied inspired [MASK] revolutions.,any,1
115,n_nrel,None of the laws which I have not have studied inspired [MASK] revolutions.,any,1
116,n_nrel,It is not the case that the laws which I have not studied inspired [MASK] revolutions.,any,1
117,n_npp,No laws in none of these places inspired [MASK] revolutions.,any,1
118,n_npp,None of the laws in none of these places inspired [MASK] revolutions.,any,1
119,n_npp,It is not the case that laws in none of these places inspired [MASK] revolutions.,any,1
120,p_pn,The laws will change [MASK] lives.,any,0
121,p_pn,Many of the laws will change [MASK] lives.,any,0
122,p_pn,It is the case that the laws will change [MASK] lives.,any,0
123,p_prel,The laws which I have studied will change [MASK] lives.,any,0
124,p_prel,Many of the laws which I have studied will change [MASK] lives.,any,0
125,p_prel,It is the case that laws which I have studied will change [MASK] lives.,any,0
126,p_ppp,The laws in these places will change [MASK] lives.,any,0
127,p_ppp,Many of the laws in these places will change [MASK] lives.,any,0
128,p_ppp,It is the case that the laws in these places will change [MASK] lives.,any,0
129,p_nrel,The laws which I have not studied will change [MASK] lives.,any,1
130,p_nrel,Many of the laws which I have not studied will change [MASK] lives.,any,1
131,p_nrel,It is the case that the laws which I have not studied will change [MASK] lives.,any,1
132,p_npp,The laws in none of these places will change [MASK] lives.,any,1
133,p_npp,Many of the laws in none of these places will change [MASK] lives.,any,1
134,p_npp,It is the case that laws in none of these places will change [MASK] lives.,any,1
135,n_pn,No laws will change [MASK] lives.,any,1
136,n_pn,None of the laws will change [MASK] lives.,any,1
137,n_pn,It is not the case that the laws will change [MASK] lives.,any,1
138,n_prel,No laws which I have studied will change [MASK] lives.,any,1
139,n_prel,None of the laws which I have studied will change [MASK] lives.,any,1
140,n_prel,It is not the case that the laws which I have studied will change [MASK] lives.,any,1
141,n_ppp,No laws in these places will change [MASK] lives.,any,1
142,n_ppp,None of the laws in these places will change [MASK] lives.,any,1
143,n_ppp,It is not the case that laws in these places will change [MASK] lives.,any,1
144,n_nrel,No laws which I have not studied will change [MASK] lives.,any,1
145,n_nrel,None of the laws which I have not have studied will change [MASK] lives.,any,1
146,n_nrel,It is not the case that the laws which I have not studied will change [MASK] lives.,any,1
147,n_npp,No laws in none of these places will change [MASK] lives.,any,1
148,n_npp,None of the laws in none of these places will change [MASK] lives.,any,1
149,n_npp,It is not the case that laws in none of these places will change [MASK] lives.,any,1
150,p_pn,The laws impress [MASK] ambassadors.,any,0
151,p_pn,Many of the laws impress [MASK] ambassadors.,any,0
152,p_pn,It is the case that the laws impress [MASK] ambassadors.,any,0
153,p_prel,The laws which I have studied impress [MASK] ambassadors.,any,0
154,p_prel,Many of the laws which I have studied impress [MASK] ambassadors.,any,0
155,p_prel,It is the case that laws which I have studied impress [MASK] ambassadors.,any,0
156,p_ppp,The laws in these places impress [MASK] ambassadors.,any,0
157,p_ppp,Many of the laws in these places impress [MASK] ambassadors.,any,0
158,p_ppp,It is the case that the laws in these places impress [MASK] ambassadors.,any,0
159,p_nrel,The laws which I have not studied impress [MASK] ambassadors.,any,1
160,p_nrel,Many of the laws which I have not studied impress [MASK] ambassadors.,any,1
161,p_nrel,It is the case that the laws which I have not studied impress [MASK] ambassadors.,any,1
162,p_npp,The laws in none of these places impress [MASK] ambassadors.,any,1
163,p_npp,Many of the laws in none of these places impress [MASK] ambassadors.,any,1
164,p_npp,It is the case that laws in none of these places impress [MASK] ambassadors.,any,1
165,n_pn,No laws impress [MASK] ambassadors.,any,1
166,n_pn,None of the laws impress [MASK] ambassadors.,any,1
167,n_pn,It is not the case that the laws impress [MASK] ambassadors.,any,1
168,n_prel,No laws which I have studied impress [MASK] ambassadors.,any,1
169,n_prel,None of the laws which I have studied impress [MASK] ambassadors.,any,1
170,n_prel,It is not the case that the laws which I have studied impress [MASK] ambassadors.,any,1
171,n_ppp,No laws in these places impress [MASK] ambassadors.,any,1
172,n_ppp,None of the laws in these places impress [MASK] ambassadors.,any,1
173,n_ppp,It is not the case that laws in these places impress [MASK] ambassadors.,any,1
174,n_nrel,No laws which I have not studied impress [MASK] ambassadors.,any,1
175,n_nrel,None of the laws which I have not have studied impress [MASK] ambassadors.,any,1
176,n_nrel,It is not the case that the laws which I have not studied impress [MASK] ambassadors.,any,1
177,n_npp,No laws in none of these places impress [MASK] ambassadors.,any,1
178,n_npp,None of the laws in none of these places impress [MASK] ambassadors.,any,1
179,n_npp,It is not the case that laws in none of these places impress [MASK] ambassadors.,any,1
180,p_pn,The theories have done [MASK] harm.,any,0
181,p_pn,Many of the theories have done [MASK] harm.,any,0
182,p_pn,It is the case that the theories have done [MASK] harm.,any,0
183,p_prel,The theories which I have studied have done [MASK] harm.,any,0
184,p_prel,Many of the theories which I have studied have done [MASK] harm.,any,0
185,p_prel,It is the case that theories which I have studied have done [MASK] harm.,any,0
186,p_ppp,The theories in these places have done [MASK] harm.,any,0
187,p_ppp,Many of the theories in these places have done [MASK] harm.,any,0
188,p_ppp,It is the case that the theories in these places have done [MASK] harm.,any,0
189,p_nrel,The theories which I have not studied have done [MASK] harm.,any,1
190,p_nrel,Many of the theories which I have not studied have done [MASK] harm.,any,1
191,p_nrel,It is the case that the theories which I have not studied have done [MASK] harm.,any,1
192,p_npp,The theories in none of these places have done [MASK] harm.,any,1
193,p_npp,Many of the theories in none of these places have done [MASK] harm.,any,1
194,p_npp,It is the case that theories in none of these places have done [MASK] harm.,any,1
195,n_pn,No theories have done [MASK] harm.,any,1
196,n_pn,None of the theories have done [MASK] harm.,any,1
197,n_pn,It is not the case that the theories have done [MASK] harm.,any,1
198,n_prel,No theories which I have studied have done [MASK] harm.,any,1
199,n_prel,None of the theories which I have studied have done [MASK] harm.,any,1
200,n_prel,It is not the case that the theories which I have studied have done [MASK] harm.,any,1
201,n_ppp,No theories in these places have done [MASK] harm.,any,1
202,n_ppp,None of the theories in these places have done [MASK] harm.,any,1
203,n_ppp,It is not the case that theories in these places have done [MASK] harm.,any,1
204,n_nrel,No theories which I have not studied have done [MASK] harm.,any,1
205,n_nrel,None of the theories which I have not have studied have done [MASK] harm.,any,1
206,n_nrel,It is not the case that the theories which I have not studied have done [MASK] harm.,any,1
207,n_npp,No theories in none of these places have done [MASK] harm.,any,1
208,n_npp,None of the theories in none of these places have done [MASK] harm.,any,1
209,n_npp,It is not the case that theories in none of these places have done [MASK] harm.,any,1
210,p_pn,The theories will impact [MASK] legislation.,any,0
211,p_pn,Many of the theories will impact [MASK] legislation.,any,0
212,p_pn,It is the case that the theories will impact [MASK] legislation.,any,0
213,p_prel,The theories which I have studied will impact [MASK] legislation.,any,0
214,p_prel,Many of the theories which I have studied will impact [MASK] legislation.,any,0
215,p_prel,It is the case that theories which I have studied will impact [MASK] legislation.,any,0
216,p_ppp,The theories in these places will impact [MASK] legislation.,any,0
217,p_ppp,Many of the theories in these places will impact [MASK] legislation.,any,0
218,p_ppp,It is the case that the theories in these places will impact [MASK] legislation.,any,0
219,p_nrel,The theories which I have not studied will impact [MASK] legislation.,any,1
220,p_nrel,Many of the theories which I have not studied will impact [MASK] legislation.,any,1
221,p_nrel,It is the case that the theories which I have not studied will impact [MASK] legislation.,any,1
222,p_npp,The theories in none of these places will impact [MASK] legislation.,any,1
223,p_npp,Many of the theories in none of these places will impact [MASK] legislation.,any,1
224,p_npp,It is the case that theories in none of these places will impact [MASK] legislation.,any,1
225,n_pn,No theories will impact [MASK] legislation.,any,1
226,n_pn,None of the theories will impact [MASK] legislation.,any,1
227,n_pn,It is not the case that the theories will impact [MASK] legislation.,any,1
228,n_prel,No theories which I have studied will impact [MASK] legislation.,any,1
229,n_prel,None of the theories which I have studied will impact [MASK] legislation.,any,1
230,n_prel,It is not the case that the theories which I have studied will impact [MASK] legislation.,any,1
231,n_ppp,No theories in these places will impact [MASK] legislation.,any,1
232,n_ppp,None of the theories in these places will impact [MASK] legislation.,any,1
233,n_ppp,It is not the case that theories in these places will impact [MASK] legislation.,any,1
234,n_nrel,No theories which I have not studied will impact [MASK] legislation.,any,1
235,n_nrel,None of the theories which I have not have studied will impact [MASK] legislation.,any,1
236,n_nrel,It is not the case that the theories which I have not studied will impact [MASK] legislation.,any,1
237,n_npp,No theories in none of these places will impact [MASK] legislation.,any,1
238,n_npp,None of the theories in none of these places will impact [MASK] legislation.,any,1
239,n_npp,It is not the case that theories in none of these places will impact [MASK] legislation.,any,1
240,p_pn,The theories confuse [MASK] astronomers.,any,0
241,p_pn,Many of the theories confuse [MASK] astronomers.,any,0
242,p_pn,It is the case that the theories confuse [MASK] astronomers.,any,0
243,p_prel,The theories which I have studied confuse [MASK] astronomers.,any,0
244,p_prel,Many of the theories which I have studied confuse [MASK] astronomers.,any,0
245,p_prel,It is the case that theories which I have studied confuse [MASK] astronomers.,any,0
246,p_ppp,The theories in these places confuse [MASK] astronomers.,any,0
247,p_ppp,Many of the theories in these places confuse [MASK] astronomers.,any,0
248,p_ppp,It is the case that the theories in these places confuse [MASK] astronomers.,any,0
249,p_nrel,The theories which I have not studied confuse [MASK] astronomers.,any,1
250,p_nrel,Many of the theories which I have not studied confuse [MASK] astronomers.,any,1
251,p_nrel,It is the case that the theories which I have not studied confuse [MASK] astronomers.,any,1
252,p_npp,The theories in none of these places confuse [MASK] astronomers.,any,1
253,p_npp,Many of the theories in none of these places confuse [MASK] astronomers.,any,1
254,p_npp,It is the case that theories in none of these places confuse [MASK] astronomers.,any,1
255,n_pn,No theories confuse [MASK] astronomers.,any,1
256,n_pn,None of the theories confuse [MASK] astronomers.,any,1
257,n_pn,It is not the case that the theories confuse [MASK] astronomers.,any,1
258,n_prel,No theories which I have studied confuse [MASK] astronomers.,any,1
259,n_prel,None of the theories which I have studied confuse [MASK] astronomers.,any,1
260,n_prel,It is not the case that the theories which I have studied confuse [MASK] astronomers.,any,1
261,n_ppp,No theories in these places confuse [MASK] astronomers.,any,1
262,n_ppp,None of the theories in these places confuse [MASK] astronomers.,any,1
263,n_ppp,It is not the case that theories in these places confuse [MASK] astronomers.,any,1
264,n_nrel,No theories which I have not studied confuse [MASK] astronomers.,any,1
265,n_nrel,None of the theories which I have not have studied confuse [MASK] astronomers.,any,1
266,n_nrel,It is not the case that the theories which I have not studied confuse [MASK] astronomers.,any,1
267,n_npp,No theories in none of these places confuse [MASK] astronomers.,any,1
268,n_npp,None of the theories in none of these places confuse [MASK] astronomers.,any,1
269,n_npp,It is not the case that theories in none of these places confuse [MASK] astronomers.,any,1
270,p_pn,The theories inspired [MASK] revolutions.,any,0
271,p_pn,Many of the theories inspired [MASK] revolutions.,any,0
272,p_pn,It is the case that the theories inspired [MASK] revolutions.,any,0
273,p_prel,The theories which I have studied inspired [MASK] revolutions.,any,0
274,p_prel,Many of the theories which I have studied inspired [MASK] revolutions.,any,0
275,p_prel,It is the case that theories which I have studied inspired [MASK] revolutions.,any,0
276,p_ppp,The theories in these places inspired [MASK] revolutions.,any,0
277,p_ppp,Many of the theories in these places inspired [MASK] revolutions.,any,0
278,p_ppp,It is the case that the theories in these places inspired [MASK] revolutions.,any,0
279,p_nrel,The theories which I have not studied inspired [MASK] revolutions.,any,1
280,p_nrel,Many of the theories which I have not studied inspired [MASK] revolutions.,any,1
281,p_nrel,It is the case that the theories which I have not studied inspired [MASK] revolutions.,any,1
282,p_npp,The theories in none of these places inspired [MASK] revolutions.,any,1
283,p_npp,Many of the theories in none of these places inspired [MASK] revolutions.,any,1
284,p_npp,It is the case that theories in none of these places inspired [MASK] revolutions.,any,1
285,n_pn,No theories inspired [MASK] revolutions.,any,1
286,n_pn,None of the theories inspired [MASK] revolutions.,any,1
287,n_pn,It is not the case that the theories inspired [MASK] revolutions.,any,1
288,n_prel,No theories which I have studied inspired [MASK] revolutions.,any,1
289,n_prel,None of the theories which I have studied inspired [MASK] revolutions.,any,1
290,n_prel,It is not the case that the theories which I have studied inspired [MASK] revolutions.,any,1
291,n_ppp,No theories in these places inspired [MASK] revolutions.,any,1
292,n_ppp,None of the theories in these places inspired [MASK] revolutions.,any,1
293,n_ppp,It is not the case that theories in these places inspired [MASK] revolutions.,any,1
294,n_nrel,No theories which I have not studied inspired [MASK] revolutions.,any,1
295,n_nrel,None of the theories which I have not have studied inspired [MASK] revolutions.,any,1
296,n_nrel,It is not the case that the theories which I have not studied inspired [MASK] revolutions.,any,1
297,n_npp,No theories in none of these places inspired [MASK] revolutions.,any,1
298,n_npp,None of the theories in none of these places inspired [MASK] revolutions.,any,1
299,n_npp,It is not the case that theories in none of these places inspired [MASK] revolutions.,any,1
300,p_pn,The theories will change [MASK] lives.,any,0
301,p_pn,Many of the theories will change [MASK] lives.,any,0
302,p_pn,It is the case that the theories will change [MASK] lives.,any,0
303,p_prel,The theories which I have studied will change [MASK] lives.,any,0
304,p_prel,Many of the theories which I have studied will change [MASK] lives.,any,0
305,p_prel,It is the case that theories which I have studied will change [MASK] lives.,any,0
306,p_ppp,The theories in these places will change [MASK] lives.,any,0
307,p_ppp,Many of the theories in these places will change [MASK] lives.,any,0
308,p_ppp,It is the case that the theories in these places will change [MASK] lives.,any,0
309,p_nrel,The theories which I have not studied will change [MASK] lives.,any,1
310,p_nrel,Many of the theories which I have not studied will change [MASK] lives.,any,1
311,p_nrel,It is the case that the theories which I have not studied will change [MASK] lives.,any,1
312,p_npp,The theories in none of these places will change [MASK] lives.,any,1
313,p_npp,Many of the theories in none of these places will change [MASK] lives.,any,1
314,p_npp,It is the case that theories in none of these places will change [MASK] lives.,any,1
315,n_pn,No theories will change [MASK] lives.,any,1
316,n_pn,None of the theories will change [MASK] lives.,any,1
317,n_pn,It is not the case that the theories will change [MASK] lives.,any,1
318,n_prel,No theories which I have studied will change [MASK] lives.,any,1
319,n_prel,None of the theories which I have studied will change [MASK] lives.,any,1
320,n_prel,It is not the case that the theories which I have studied will change [MASK] lives.,any,1
321,n_ppp,No theories in these places will change [MASK] lives.,any,1
322,n_ppp,None of the theories in these places will change [MASK] lives.,any,1
323,n_ppp,It is not the case that theories in these places will change [MASK] lives.,any,1
324,n_nrel,No theories which I have not studied will change [MASK] lives.,any,1
325,n_nrel,None of the theories which I have not have studied will change [MASK] lives.,any,1
326,n_nrel,It is not the case that the theories which I have not studied will change [MASK] lives.,any,1
327,n_npp,No theories in none of these places will change [MASK] lives.,any,1
328,n_npp,None of the theories in none of these places will change [MASK] lives.,any,1
329,n_npp,It is not the case that theories in none of these places will change [MASK] lives.,any,1
330,p_pn,The theories impress [MASK] ambassadors.,any,0
331,p_pn,Many of the theories impress [MASK] ambassadors.,any,0
332,p_pn,It is the case that the theories impress [MASK] ambassadors.,any,0
333,p_prel,The theories which I have studied impress [MASK] ambassadors.,any,0
334,p_prel,Many of the theories which I have studied impress [MASK] ambassadors.,any,0
335,p_prel,It is the case that theories which I have studied impress [MASK] ambassadors.,any,0
336,p_ppp,The theories in these places impress [MASK] ambassadors.,any,0
337,p_ppp,Many of the theories in these places impress [MASK] ambassadors.,any,0
338,p_ppp,It is the case that the theories in these places impress [MASK] ambassadors.,any,0
339,p_nrel,The theories which I have not studied impress [MASK] ambassadors.,any,1
340,p_nrel,Many of the theories which I have not studied impress [MASK] ambassadors.,any,1
341,p_nrel,It is the case that the theories which I have not studied impress [MASK] ambassadors.,any,1
342,p_npp,The theories in none of these places impress [MASK] ambassadors.,any,1
343,p_npp,Many of the theories in none of these places impress [MASK] ambassadors.,any,1
344,p_npp,It is the case that theories in none of these places impress [MASK] ambassadors.,any,1
345,n_pn,No theories impress [MASK] ambassadors.,any,1
346,n_pn,None of the theories impress [MASK] ambassadors.,any,1
347,n_pn,It is not the case that the theories impress [MASK] ambassadors.,any,1
348,n_prel,No theories which I have studied impress [MASK] ambassadors.,any,1
349,n_prel,None of the theories which I have studied impress [MASK] ambassadors.,any,1
350,n_prel,It is not the case that the theories which I have studied impress [MASK] ambassadors.,any,1
351,n_ppp,No theories in these places impress [MASK] ambassadors.,any,1
352,n_ppp,None of the theories in these places impress [MASK] ambassadors.,any,1
353,n_ppp,It is not the case that theories in these places impress [MASK] ambassadors.,any,1
354,n_nrel,No theories which I have not studied impress [MASK] ambassadors.,any,1
355,n_nrel,None of the theories which I have not have studied impress [MASK] ambassadors.,any,1
356,n_nrel,It is not the case that the theories which I have not studied impress [MASK] ambassadors.,any,1
357,n_npp,No theories in none of these places impress [MASK] ambassadors.,any,1
358,n_npp,None of the theories in none of these places impress [MASK] ambassadors.,any,1
359,n_npp,It is not the case that theories in none of these places impress [MASK] ambassadors.,any,1
360,p_pn,The cats have done [MASK] harm.,any,0
361,p_pn,Many of the cats have done [MASK] harm.,any,0
362,p_pn,It is the case that the cats have done [MASK] harm.,any,0
363,p_prel,The cats which I have studied have done [MASK] harm.,any,0
364,p_prel,Many of the cats which I have studied have done [MASK] harm.,any,0
365,p_prel,It is the case that cats which I have studied have done [MASK] harm.,any,0
366,p_ppp,The cats in these places have done [MASK] harm.,any,0
367,p_ppp,Many of the cats in these places have done [MASK] harm.,any,0
368,p_ppp,It is the case that the cats in these places have done [MASK] harm.,any,0
369,p_nrel,The cats which I have not studied have done [MASK] harm.,any,1
370,p_nrel,Many of the cats which I have not studied have done [MASK] harm.,any,1
371,p_nrel,It is the case that the cats which I have not studied have done [MASK] harm.,any,1
372,p_npp,The cats in none of these places have done [MASK] harm.,any,1
373,p_npp,Many of the cats in none of these places have done [MASK] harm.,any,1
374,p_npp,It is the case that cats in none of these places have done [MASK] harm.,any,1
375,n_pn,No cats have done [MASK] harm.,any,1
376,n_pn,None of the cats have done [MASK] harm.,any,1
377,n_pn,It is not the case that the cats have done [MASK] harm.,any,1
378,n_prel,No cats which I have studied have done [MASK] harm.,any,1
379,n_prel,None of the cats which I have studied have done [MASK] harm.,any,1
380,n_prel,It is not the case that the cats which I have studied have done [MASK] harm.,any,1
381,n_ppp,No cats in these places have done [MASK] harm.,any,1
382,n_ppp,None of the cats in these places have done [MASK] harm.,any,1
383,n_ppp,It is not the case that cats in these places have done [MASK] harm.,any,1
384,n_nrel,No cats which I have not studied have done [MASK] harm.,any,1
385,n_nrel,None of the cats which I have not have studied have done [MASK] harm.,any,1
386,n_nrel,It is not the case that the cats which I have not studied have done [MASK] harm.,any,1
387,n_npp,No cats in none of these places have done [MASK] harm.,any,1
388,n_npp,None of the cats in none of these places have done [MASK] harm.,any,1
389,n_npp,It is not the case that cats in none of these places have done [MASK] harm.,any,1
390,p_pn,The cats will impact [MASK] legislation.,any,0
391,p_pn,Many of the cats will impact [MASK] legislation.,any,0
392,p_pn,It is the case that the cats will impact [MASK] legislation.,any,0
393,p_prel,The cats which I have studied will impact [MASK] legislation.,any,0
394,p_prel,Many of the cats which I have studied will impact [MASK] legislation.,any,0
395,p_prel,It is the case that cats which I have studied will impact [MASK] legislation.,any,0
396,p_ppp,The cats in these places will impact [MASK] legislation.,any,0
397,p_ppp,Many of the cats in these places will impact [MASK] legislation.,any,0
398,p_ppp,It is the case that the cats in these places will impact [MASK] legislation.,any,0
399,p_nrel,The cats which I have not studied will impact [MASK] legislation.,any,1
400,p_nrel,Many of the cats which I have not studied will impact [MASK] legislation.,any,1
401,p_nrel,It is the case that the cats which I have not studied will impact [MASK] legislation.,any,1
402,p_npp,The cats in none of these places will impact [MASK] legislation.,any,1
403,p_npp,Many of the cats in none of these places will impact [MASK] legislation.,any,1
404,p_npp,It is the case that cats in none of these places will impact [MASK] legislation.,any,1
405,n_pn,No cats will impact [MASK] legislation.,any,1
406,n_pn,None of the cats will impact [MASK] legislation.,any,1
407,n_pn,It is not the case that the cats will impact [MASK] legislation.,any,1
408,n_prel,No cats which I have studied will impact [MASK] legislation.,any,1
409,n_prel,None of the cats which I have studied will impact [MASK] legislation.,any,1
