number,construction,sentence,item,grammaticality,num_words,prob
0,p_pn,The laws have done [MASK] harm.,any,0,6,0.00028614135226234794
1,p_pn,Many of the laws have done [MASK] harm.,any,0,8,0.0008992308867163956
2,p_pn,It is the case that the laws have done [MASK] harm.,any,0,11,0.001087696524336934
3,p_prel,The laws which I have studied have done [MASK] harm.,any,0,10,0.0002097698743455112
4,p_prel,Many of the laws which I have studied have done [MASK] harm.,any,0,12,0.0011632132809609175
5,p_prel,It is the case that laws which I have studied have done [MASK] harm.,any,0,14,0.0011402970412746072
6,p_ppp,The laws in these places have done [MASK] harm.,any,0,9,0.00043306194129399955
7,p_ppp,Many of the laws in these places have done [MASK] harm.,any,0,11,0.0011825860710814595
8,p_ppp,It is the case that the laws in these places have done [MASK] harm.,any,0,14,0.0013168493751436472
9,p_nrel,The laws which I have not studied have done [MASK] harm.,any,1,11,0.0015916292322799563
10,p_nrel,Many of the laws which I have not studied have done [MASK] harm.,any,1,13,0.003825139719992876
11,p_nrel,It is the case that the laws which I have not studied have done [MASK] harm.,any,1,16,0.009022044949233532
12,p_npp,The laws in none of these places have done [MASK] harm.,any,1,11,0.7024010419845581
13,p_npp,Many of the laws in none of these places have done [MASK] harm.,any,1,13,0.6180318593978882
14,p_npp,It is the case that laws in none of these places have done [MASK] harm.,any,1,15,0.7092379331588745
15,n_pn,No laws have done [MASK] harm.,any,1,6,0.4746522903442383
16,n_pn,None of the laws have done [MASK] harm.,any,1,8,0.6435366272926331
17,n_pn,It is not the case that the laws have done [MASK] harm.,any,1,12,0.5637120008468628
18,n_prel,No laws which I have studied have done [MASK] harm.,any,1,10,0.6310829520225525
19,n_prel,None of the laws which I have studied have done [MASK] harm.,any,1,12,0.7872840762138367
20,n_prel,It is not the case that the laws which I have studied have done [MASK] harm.,any,1,16,0.38465526700019836
21,n_ppp,No laws in these places have done [MASK] harm.,any,1,9,0.7070002555847168
22,n_ppp,None of the laws in these places have done [MASK] harm.,any,1,11,0.7074605822563171
23,n_ppp,It is not the case that laws in these places have done [MASK] harm.,any,1,14,0.5350068807601929
24,n_nrel,No laws which I have not studied have done [MASK] harm.,any,1,11,0.4927022159099579
25,n_nrel,None of the laws which I have not have studied have done [MASK] harm.,any,1,14,0.728269100189209
26,n_nrel,It is not the case that the laws which I have not studied have done [MASK] harm.,any,1,17,0.46651023626327515
27,n_npp,No laws in none of these places have done [MASK] harm.,any,1,11,0.5419310331344604
28,n_npp,None of the laws in none of these places have done [MASK] harm.,any,1,13,0.643986701965332
