number,construction,sentence,item,grammaticality,num_words,prob
0,p_pn,The laws have done,any,0,4,7.991925667738542e-05
1,p_pn,Many of the laws have done,any,0,6,0.00011885344429174438
2,p_pn,It is the case that the laws have done,any,0,9,0.00019661067926790565
3,p_prel,The laws which I have studied have done,any,0,8,0.0001935190666699782
4,p_prel,Many of the laws which I have studied have done,any,0,10,0.00045451021287590265
5,p_prel,It is the case that laws which I have studied have done,any,0,12,0.0001893181906780228
6,p_ppp,The laws in these places have done,any,0,7,0.00017284642672166228
7,p_ppp,Many of the laws in these places have done,any,0,9,0.00023235264234244823
8,p_ppp,It is the case that the laws in these places have done,any,0,12,0.00029014633037149906
9,p_nrel,The laws which I have not studied have done,any,1,9,0.0007218902464956045
10,p_nrel,Many of the laws which I have not studied have done,any,1,11,0.0013544773682951927
11,p_nrel,It is the case that the laws which I have not studied have done,any,1,14,0.0010955586330965161
12,p_npp,The laws in none of these places have done,any,1,9,0.08448302745819092
13,p_npp,Many of the laws in none of these places have done,any,1,11,0.07689687609672546
14,p_npp,It is the case that laws in none of these places have done,any,1,13,0.04817759990692139
15,n_pn,No laws have done,any,1,4,0.020895803347229958
16,n_pn,None of the laws have done,any,1,6,0.07025004923343658
17,n_pn,It is not the case that the laws have done,any,1,10,0.050586216151714325
18,n_prel,No laws which I have studied have done,any,1,8,0.051622726023197174
19,n_prel,None of the laws which I have studied have done,any,1,10,0.10034344345331192
20,n_prel,It is not the case that the laws which I have studied have done,any,1,14,0.0728493258357048
21,n_ppp,No laws in these places have done,any,1,7,0.049823615700006485
22,n_ppp,None of the laws in these places have done,any,1,9,0.07996339350938797
23,n_ppp,It is not the case that laws in these places have done,any,1,12,0.0392443984746933
24,n_nrel,No laws which I have not studied have done,any,1,9,0.06526638567447662
25,n_nrel,None of the laws which I have not have studied have done,any,1,12,0.09099704772233963
26,n_nrel,It is not the case that the laws which I have not studied have done,any,1,15,0.08354666829109192
27,n_npp,No laws in none of these places have done,any,1,9,0.0470842681825161
28,n_npp,None of the laws in none of these places have done,any,1,11,0.07213666290044785
29,n_npp,It is not the case that laws in none of these places have done,any,1,14,0.04389607533812523
30,p_pn,The laws will impact,any,0,4,0.003194796619936824
31,p_pn,Many of the laws will impact,any,0,6,0.0019487327663227916
32,p_pn,It is the case that the laws will impact,any,0,9,0.0017943037673830986
33,p_prel,The laws which I have studied will impact,any,0,8,0.0030143139883875847
34,p_prel,Many of the laws which I have studied will impact,any,0,10,0.0033673683647066355
35,p_prel,It is the case that laws which I have studied will impact,any,0,12,0.0018410291522741318
36,p_ppp,The laws in these places will impact,any,0,7,0.0019921218045055866
